,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],TWF,HDF,PWF,OSF,RNF
0,L,302.3,311.5,1499,38.0,60,0,0,0,0,0
1,L,301.7,311.0,1713,28.8,17,0,0,0,0,0
2,L,301.3,310.4,1525,37.7,96,0,0,0,0,0
3,M,300.1,309.6,1479,47.6,5,0,0,0,0,0
4,M,303.4,312.3,1515,41.3,114,0,0,0,0,0
5,L,299.1,308.3,1489,38.2,139,0,0,0,0,0
6,L,299.8,309.1,1429,39.9,207,0,0,0,0,0
7,L,302.7,312.4,1540,46.2,17,0,0,0,0,0
8,H,300.7,311.9,1613,36.0,12,0,0,0,0,0
9,L,300.5,311.4,1708,32.2,57,0,0,0,0,0
10,L,301.4,311.0,1451,39.5,110,0,0,0,0,0
11,L,301.6,310.4,1531,38.5,12,0,0,0,0,0
12,L,297.3,307.9,1627,30.9,161,0,0,0,0,0
13,L,300.7,310.8,1507,37.7,94,0,0,0,0,0
14,H,298.7,309.8,1434,43.9,102,0,0,0,0,0
15,L,300.6,310.4,1387,48.1,120,0,0,0,0,0
16,L,300.7,310.6,1616,29.6,98,0,0,0,0,0
17,L,301.4,311.8,1412,52.3,208,0,0,0,1,0
18,L,300.8,310.6,1683,32.7,139,0,0,0,0,0
19,L,300.7,312.1,1520,37.2,173,0,0,0,0,0
20,L,301.7,310.9,1400,50.8,2,0,0,0,0,0
21,L,299.5,309.3,1487,42.4,146,0,0,0,0,0
22,L,301.0,310.8,1520,52.9,173,0,0,0,0,0
23,L,301.1,311.1,1372,57.2,188,0,0,0,0,0
24,L,301.7,311.0,1455,42.0,119,0,0,0,0,0
25,M,297.5,308.7,1430,43.4,123,0,0,0,0,0
26,L,300.5,311.5,1608,34.3,157,0,0,0,0,0
27,L,304.1,313.3,1452,43.9,168,0,0,0,0,0
28,M,300.2,309.5,1500,45.7,179,0,0,0,0,0
29,L,302.6,311.9,1453,44.8,84,0,0,0,0,0
30,M,301.8,310.2,1609,34.2,210,0,0,0,0,0
31,L,300.7,310.2,1372,46.6,16,0,0,0,0,0
32,L,301.5,310.6,1474,34.4,53,0,0,0,0,0
33,L,298.4,308.0,1243,62.9,98,0,0,0,0,0
34,H,302.0,310.9,1519,29.0,222,0,0,0,0,0
35,L,299.7,311.1,1480,42.0,202,0,0,0,0,0
36,L,296.6,307.5,1446,43.1,48,0,0,0,0,0
37,L,302.3,310.9,1762,29.4,44,0,0,0,0,0
38,L,298.5,309.2,1774,27.7,146,0,0,0,0,0
39,M,301.5,310.5,1520,38.5,148,0,0,0,0,0
40,L,301.0,310.9,1518,37.8,10,0,0,0,0,0
41,L,300.7,310.9,1530,36.5,197,0,0,0,0,0
42,L,302.6,310.7,1422,45.4,148,0,0,0,0,0
43,L,300.4,309.5,1460,43.2,209,0,0,0,0,0
44,L,297.2,308.4,1477,48.1,2,0,0,0,0,0
45,L,300.5,311.9,1499,39.9,168,0,0,0,0,0
46,M,300.4,309.4,1498,46.2,2,0,0,0,0,0
47,H,302.1,310.9,1288,52.7,7,0,0,0,0,0
48,L,302.6,312.0,1547,36.7,89,0,0,0,0,0
49,L,298.0,307.5,1539,35.8,143,0,0,0,0,0
50,M,297.2,308.6,1451,46.3,21,0,0,0,0,0
51,L,298.9,309.8,1435,47.5,214,0,0,0,0,0
52,L,302.2,310.7,1467,36.4,100,0,0,0,0,0
53,L,302.4,311.8,1246,61.0,213,0,0,0,0,0
54,M,300.0,309.3,1452,46.3,49,0,0,0,0,0
55,L,299.5,309.3,1775,27.6,48,0,0,0,0,0
56,M,299.8,309.6,1511,37.8,95,0,0,0,0,0
57,L,300.4,311.1,1523,37.1,191,0,0,0,0,0
58,L,297.4,308.2,1615,34.9,119,0,0,0,0,0
59,L,300.6,309.6,1357,44.4,136,0,0,0,0,0
60,L,297.3,308.1,1517,35.7,112,0,0,0,0,0
61,L,302.6,312.0,1287,62.4,82,0,0,0,0,0
62,L,298.7,308.4,1312,50.6,36,0,0,0,0,0
63,L,298.1,308.1,1611,41.3,59,0,0,0,0,0
64,L,300.2,310.2,1366,48.2,45,0,0,0,0,0
65,L,298.2,308.4,1543,34.6,74,0,0,0,0,0
66,L,297.5,308.6,1434,42.2,204,0,0,0,0,0
67,L,303.0,312.8,1551,41.8,111,0,0,0,0,0
68,H,300.1,309.4,1639,32.0,143,0,0,0,0,0
69,L,298.5,309.4,1351,56.9,124,0,0,0,0,0
70,L,299.9,309.2,1471,34.6,105,0,0,0,0,0
71,M,295.3,305.8,1589,36.2,24,0,0,0,0,0
72,L,299.0,310.4,1636,34.9,134,0,0,0,0,0
73,H,304.0,313.1,1499,43.1,91,0,0,0,0,0
74,M,303.4,311.8,1466,39.2,120,0,0,0,0,0
75,L,299.0,310.2,1477,41.5,18,0,0,0,0,0
76,L,304.4,313.6,1710,27.3,28,0,0,0,0,0
77,L,298.5,309.5,1422,46.2,92,0,0,0,0,0
78,M,297.6,308.4,1642,29.5,161,0,0,0,0,0
79,L,299.3,308.6,1433,36.8,26,0,0,0,0,0
80,M,299.2,308.9,1402,48.1,112,0,0,0,0,0
81,L,298.8,308.6,1599,33.0,125,0,0,0,0,0
82,L,301.6,310.6,1383,49.5,160,0,0,0,0,0
83,M,298.2,308.7,1547,38.9,0,0,0,0,0,0
84,H,302.4,310.0,1483,37.9,185,0,0,0,0,0
85,L,298.0,308.8,1441,43.0,96,0,0,0,0,0
86,M,301.5,310.7,1442,41.9,89,0,0,0,0,0
87,L,298.8,309.5,1474,43.4,159,0,0,0,0,0
88,M,297.2,308.3,1431,47.3,46,0,0,0,0,0
89,L,299.7,310.6,1529,39.9,53,0,0,0,0,0
90,M,298.5,308.1,1418,42.4,183,0,0,0,0,0
91,M,302.4,310.7,1429,40.4,35,0,0,0,0,0
92,L,298.6,309.5,1713,33.4,127,0,0,0,0,0
93,L,297.2,308.0,1427,43.0,200,0,0,0,0,0
94,L,297.0,307.7,1558,34.4,126,0,0,0,0,0
95,L,298.2,308.9,1487,40.0,42,0,0,0,0,0
96,H,300.4,309.6,1414,43.9,139,0,0,0,0,0
97,L,299.3,308.7,1423,47.8,106,0,0,0,0,0
98,L,300.7,309.7,1435,45.7,162,0,0,0,0,0
99,H,297.3,308.6,1432,42.8,0,0,0,0,0,0
100,L,300.1,309.7,1435,48.0,104,0,0,0,0,0
101,M,300.4,309.7,1356,44.4,148,0,0,0,0,0
102,L,298.4,309.4,1461,46.3,119,0,0,0,0,0
103,M,300.8,309.7,1524,39.1,184,0,0,0,0,0
104,M,301.1,310.0,1369,48.3,11,0,0,0,0,0
105,L,300.5,312.0,1439,36.7,0,0,0,0,0,0
106,L,300.2,311.7,1459,44.4,124,0,0,0,0,0
107,M,301.9,311.1,1605,36.0,114,0,0,0,0,0
108,L,299.8,310.4,1520,30.3,173,0,0,0,0,0
109,L,299.6,310.8,1393,52.1,110,0,0,0,0,0
110,L,298.8,310.1,1400,44.1,21,0,0,0,0,0
111,L,300.4,309.6,1591,34.0,101,0,0,0,0,0
112,L,299.9,310.8,1641,31.4,51,0,0,0,0,0
113,L,300.7,309.9,1601,35.9,190,0,0,0,0,0
114,L,300.7,310.6,1499,50.0,62,0,0,0,0,0
115,M,300.3,310.3,1469,44.4,54,0,0,0,0,0
116,H,300.8,311.2,1498,41.8,177,0,0,0,0,0
117,M,299.3,308.5,1689,28.7,44,0,0,0,0,0
118,L,301.2,311.0,1759,30.2,200,0,0,0,0,0
119,L,301.1,310.7,1608,34.6,119,0,0,0,0,0
120,M,302.5,311.4,1518,35.0,157,0,0,0,0,0
121,M,299.3,308.6,1448,52.1,64,0,0,0,0,0
122,H,297.7,309.2,1527,39.5,85,0,0,0,0,0
123,L,300.7,311.8,1451,43.5,19,0,0,0,0,0
124,L,297.6,308.4,1371,40.3,137,0,0,0,0,0
125,L,300.3,311.6,1508,41.8,171,0,0,0,0,0
126,L,300.6,310.8,1350,58.5,100,0,0,0,0,0
127,H,304.0,313.2,1517,41.6,161,0,0,0,0,0
128,L,300.7,311.8,1486,47.3,96,0,0,0,0,0
129,L,300.7,310.8,1392,46.5,111,0,0,0,0,0
130,L,297.2,307.9,1448,43.4,146,0,0,0,0,0
131,L,301.2,310.4,1381,49.8,15,0,0,0,0,0
132,H,303.0,312.8,1491,45.2,163,0,0,0,0,0
133,M,299.0,310.1,1438,46.7,74,0,0,0,0,0
134,L,297.9,307.9,1461,42.8,102,0,0,0,0,0
135,L,298.2,307.8,1657,32.8,76,0,0,0,0,0
136,L,302.7,310.7,1597,45.8,137,0,0,0,0,0
137,L,300.7,310.9,1731,25.6,172,0,0,0,0,0
138,L,297.3,308.8,1446,49.9,150,0,0,0,0,0
139,L,303.7,312.4,1621,34.5,128,0,0,0,0,0
140,L,299.9,309.5,1543,38.3,198,0,0,0,0,0
141,M,297.8,308.5,1727,28.1,174,0,0,0,0,0
142,M,302.4,310.1,1485,45.9,50,0,0,0,0,0
143,L,302.9,312.4,1426,45.2,55,0,0,0,0,0
144,L,298.6,309.6,1613,34.6,146,0,0,0,0,0
145,L,300.5,310.7,1445,46.6,150,0,0,0,0,0
146,L,296.8,308.2,1528,36.2,199,0,0,0,0,0
147,L,299.1,308.9,1449,43.8,188,0,0,0,0,0
148,L,300.6,309.8,1459,45.3,87,0,0,0,0,0
149,M,296.5,307.6,1512,40.2,145,0,0,0,0,0
150,L,298.4,309.4,1366,50.4,201,0,0,0,0,0
151,M,300.2,310.0,1753,29.8,127,0,0,0,0,0
152,M,298.3,308.7,1363,46.1,5,0,0,0,0,0
153,L,300.7,310.8,1635,31.6,74,0,0,0,0,0
154,L,301.5,310.5,1547,34.3,9,0,0,0,0,0
155,L,297.9,309.0,1498,40.4,139,0,0,0,0,0
156,L,300.2,311.4,1372,47.0,191,0,0,0,0,0
157,L,299.8,309.3,1299,65.1,212,0,0,0,0,0
158,M,297.4,308.8,1515,37.4,144,0,0,0,0,0
159,L,300.1,309.7,1435,44.8,173,0,0,0,0,0
160,L,302.2,311.5,1430,43.1,29,0,0,0,0,0
161,M,298.9,309.4,1581,35.4,179,0,0,0,0,0
162,M,300.7,310.7,1347,46.2,183,0,0,0,0,0
163,L,300.4,311.4,1325,56.2,135,0,0,0,0,0
164,M,298.8,309.7,1372,54.7,113,0,0,0,0,0
165,M,300.4,311.5,1468,32.6,148,0,0,0,0,0
166,L,298.2,308.3,1492,38.2,92,0,0,0,0,0
167,L,300.6,310.2,1651,31.7,46,0,0,0,0,0
168,L,297.0,307.7,1584,35.8,128,0,0,0,0,0
169,L,300.7,310.6,1491,42.5,187,0,0,0,0,0
170,L,297.1,308.0,1445,42.6,155,0,0,0,0,0
171,L,299.0,310.4,1527,42.2,74,0,0,0,0,0
172,M,300.7,309.5,1379,46.2,144,0,0,0,0,0
173,L,298.6,308.4,1390,47.6,188,0,0,0,0,0
174,H,299.2,308.8,1357,44.9,90,0,0,0,0,0
175,M,299.6,309.3,1469,39.8,33,0,0,0,0,0
176,L,300.0,309.5,1322,53.9,33,0,0,0,0,0
177,L,300.7,311.1,1580,35.7,170,0,0,0,0,0
178,L,298.9,308.6,1369,49.5,18,0,0,0,0,0
179,L,301.2,311.0,1433,37.2,219,0,0,0,0,0
180,M,300.8,310.5,1496,44.2,181,0,0,0,0,0
181,L,298.4,308.9,1470,48.4,100,0,0,0,0,0
182,M,299.1,310.8,1465,38.4,185,0,0,0,0,0
183,M,297.5,308.8,1455,46.1,105,0,0,0,0,0
184,L,297.5,308.7,1515,44.4,112,0,0,0,0,0
185,L,301.5,310.4,1566,31.3,9,0,0,0,0,0
186,L,298.8,310.2,1662,29.0,127,0,0,0,0,0
187,M,300.2,309.8,1521,40.4,18,0,0,0,0,0
188,L,301.3,310.7,1516,46.0,168,0,0,0,0,0
189,L,298.9,308.7,1403,44.2,2,0,0,0,0,0
190,L,298.6,309.4,1811,35.6,0,0,0,0,0,0
191,L,298.0,309.2,1605,39.5,59,0,0,0,0,0
192,H,298.8,309.3,1618,36.3,173,0,0,0,0,0
193,H,300.6,310.2,1648,28.1,199,0,0,0,0,0
194,L,298.3,308.7,1531,38.1,0,0,0,0,0,0
195,M,297.7,308.9,1347,46.2,116,0,0,0,0,0
196,L,298.4,309.3,1512,42.0,199,0,0,0,0,0
197,M,300.3,311.9,1447,36.8,0,0,0,0,0,0
198,L,300.6,309.3,1725,28.5,233,0,0,0,0,0
199,M,301.7,310.1,1429,45.6,5,0,0,0,0,0
200,M,300.9,310.8,1456,26.2,191,0,0,0,0,0
201,M,300.6,310.4,1543,32.7,157,0,0,0,0,0
202,L,298.0,308.9,1393,49.8,193,0,0,0,0,0
203,L,297.5,308.1,1427,44.2,197,0,0,0,0,0
204,L,297.4,308.6,1684,31.8,200,0,0,0,0,0
205,M,303.4,312.8,1502,36.3,113,0,0,0,0,0
206,L,299.8,309.4,1540,47.1,201,0,0,0,0,0
207,L,302.8,311.1,1415,51.3,87,0,0,0,0,0
208,L,297.7,308.8,1402,47.9,121,0,0,0,0,0
209,H,301.0,310.9,1365,57.4,192,0,0,0,1,0
210,H,298.0,307.5,1431,42.8,215,0,0,0,0,0
211,L,302.1,311.2,1351,50.8,179,0,0,0,0,0
212,M,299.9,309.4,1889,33.4,6,0,0,0,0,0
